player_name,career_start,career_end,total_matches,total_wins,career_win_rate,highest_ranking,avg_win_rate,latest_rolling_1st_serve_in,latest_rolling_1st_serve_won,latest_rolling_2nd_serve_won,latest_rolling_bp_saved,latest_rolling_bp_faced,latest_rolling_ace,latest_rolling_df,career_avg_player_1st_serve_in,career_avg_player_1st_serve_won,career_avg_player_2nd_serve_won,career_avg_player_serve_games,career_avg_player_bp_saved,career_avg_player_bp_faced,career_avg_player_ace,career_avg_player_df,career_avg_rolling_win_rate,career_avg_rolling_win_rate_hard,career_avg_rolling_win_rate_clay,career_avg_rolling_win_rate_grass,career_avg_rolling_win_rate_carpet,hard_win_rate,clay_win_rate,grass_win_rate,carpet_win_rate,latest_rolling_avg_ace,avg_ace,latest_rolling_avg_df,avg_df
Jimmy Connors,1969-08-16,1996-04-29,1581,1279.0,0.809,1.0,0.809,50.5,31.541666666666668,14.541666666666666,5.083333333333333,8.666666666666666,1.2916666666666667,2.5,40.499,30.2647,14.7061,11.0317,2.7017,4.2124,5.8689,2.193,0.8102,,,,,0.8199,0.7704,0.8208,0.8124,1.2917,5.8689,2.5,2.193
Roger Federer,1998-07-06,2021-06-28,1545,1265.0,0.8188,1.0,0.8188,61.833333333333336,45.791666666666664,17.666666666666668,4.0,6.041666666666667,8.958333333333334,1.1666666666666667,48.4996,37.4464,16.8102,12.8786,2.9785,4.4432,7.8623,1.937,0.817,,,,,0.8332,0.7567,0.87,0.7246,8.9583,7.8623,1.1667,1.937
Novak Djokovic,2004-04-09,2024-10-02,1363,1139.0,0.8357,1.0,0.8357,49.77272727272727,38.40909090909091,15.681818181818182,2.727272727272727,4.090909090909091,6.818181818181818,2.8181818181818183,50.5313,37.4202,15.2298,12.6746,3.362,5.1498,5.7022,2.3516,0.8327,,,,,0.8467,0.8061,0.8582,0.6923,6.8182,5.7022,2.8182,2.3516
Rafael Nadal,2002-04-29,2024-11-19,1326,1091.0,0.8228,1.0,0.8228,50.96,34.44,12.44,4.28,7.24,3.16,2.04,50.1135,36.0837,13.488,12.0646,3.3906,5.1618,3.2163,1.738,0.8237,,,,,0.7721,0.902,0.7835,0.25,3.16,3.2163,2.04,1.738
Ivan Lendl,1978-05-29,1994-08-29,1317,1075.0,0.8162,1.0,0.8162,34.68,26.44,16.76,3.0,5.04,6.24,2.68,40.5061,30.7092,15.3687,11.1575,2.8891,4.4342,5.9469,2.3924,0.8144,,,,,0.826,0.8103,0.75,0.8313,6.24,5.9469,2.68,2.3924
Ilie Nastase,1967-12-28,1985-10-07,1285,936.0,0.7284,1.0,0.7284,43.77346889563661,30.18226824405546,13.543409655936676,5.24097631701697,8.356941789252392,4.670604440384412,3.611703432391119,43.1838,31.708,15.2441,11.5695,2.8993,4.6405,6.5361,2.2929,0.7332,,,,,0.6949,0.7782,0.7027,0.6484,4.6706,6.5361,3.6117,2.2929
Guillermo Vilas,1968-11-11,1992-09-14,1243,945.0,0.7603,2.0,0.7603,67.5,40.5,14.5,3.5,8.5,0.0,2.5,42.0019,31.4875,15.3087,11.4044,2.8474,4.5375,6.4151,2.419,0.7621,,,,,0.6923,0.7952,0.7216,0.6475,0.0,6.4151,2.5,2.419
Andre Agassi,1986-02-24,2006-08-28,1147,872.0,0.7602,1.0,0.7602,60.36,43.68,21.16,4.56,7.24,9.28,3.12,46.3004,33.8891,15.3028,11.9003,3.4319,5.3511,5.0295,2.4811,0.7605,,,,,0.7889,0.7273,0.7353,0.6429,9.28,5.0295,3.12,2.4811
Stan Smith,1968-02-10,1985-02-18,1133,819.0,0.7229,3.0,0.7229,46.31054013526489,32.72617337184478,16.065663300901427,4.481369474057842,7.47534143287488,5.02168792091461,3.1508893965942426,45.0059,33.113,15.9426,12.0668,3.0058,4.8281,6.9602,2.4346,0.7278,,,,,0.7261,0.6958,0.7677,0.6882,5.0217,6.9602,3.1509,2.4346
David Ferrer,2002-04-08,2019-05-06,1119,740.0,0.6613,3.0,0.6613,45.52,29.88,13.32,3.8,6.92,1.88,3.52,48.1177,33.0573,14.875,12.0072,4.0241,6.7089,2.7586,2.6216,0.6626,,,,,0.6352,0.705,0.6286,0.45,1.88,2.7586,3.52,2.6216
John McEnroe,1976-08-23,1994-02-21,1087,886.0,0.8151,1.0,0.8151,47.82608695652174,36.69565217391305,15.521739130434783,4.043478260869565,6.3478260869565215,5.3478260869565215,4.043478260869565,40.471,30.5931,15.0452,11.1111,2.8512,4.3917,5.8208,2.4988,0.8154,,,,,0.8101,0.7193,0.8582,0.8441,5.3478,5.8208,4.0435,2.4988
Arthur Ashe,1968-01-08,1979-07-23,1081,818.0,0.7567,2.0,0.7567,45.96,35.96,18.24,3.24,5.32,11.28,2.48,45.0275,33.2775,16.2705,12.1934,2.8609,4.6112,7.4346,2.3601,0.7598,,,,,0.7703,0.7137,0.7818,0.7679,11.28,7.4346,2.48,2.3601
Stefan Edberg,1982-09-20,1996-11-29,1077,804.0,0.7465,1.0,0.7465,47.95454545454545,35.77272727272727,17.40909090909091,3.6818181818181817,5.318181818181818,4.2727272727272725,3.5454545454545454,42.2368,31.3188,15.0812,11.2304,3.0874,4.8503,4.6647,2.9877,0.7432,,,,,0.7866,0.6766,0.7857,0.7054,4.2727,4.6647,3.5455,2.9877
Manuel Orantes,1968-01-19,1984-07-23,1052,745.0,0.7082,2.0,0.7082,46.74703076490039,27.921082423067542,11.027272189612159,6.720560328786036,11.317083516680983,1.7436890671477379,2.7891903890262095,45.4478,33.4966,16.2127,12.2024,3.2109,5.1551,7.1849,2.5609,0.7131,,,,,0.5701,0.7656,0.5439,0.4945,1.7437,7.1849,2.7892,2.5609
Brian Gottfried,1970-04-21,1984-08-28,1034,702.0,0.6789,3.0,0.6789,46.39696588360671,32.85155861245059,16.676599789495565,4.413109098497112,7.216485907086281,6.258561772466786,3.251154255240824,44.6524,32.8705,15.8142,11.8987,3.4789,5.5465,6.3962,2.7983,0.6759,,,,,0.7131,0.6381,0.6514,0.6918,6.2586,6.3962,3.2512,2.7983
John Alexander,1968-02-12,1985-12-09,1030,597.0,0.5796,8.0,0.5796,46.015996425474036,29.041722026328554,13.370060489361423,4.8529932956906805,8.896561394738354,3.3715076293441513,3.9575136591023736,47.9395,34.5711,16.505,12.4128,3.7271,6.0897,5.8297,2.915,0.5854,,,,,0.5714,0.6261,0.6009,0.4834,3.3715,5.8297,3.9575,2.915
Richard Gasquet,2002-04-15,2024-11-04,1022,609.0,0.5959,7.0,0.5959,45.56,32.24,16.88,3.44,6.12,5.0,2.72,46.772,33.9935,15.6198,12.1672,3.5134,5.7912,5.3602,2.4812,0.5971,,,,,0.5941,0.5851,0.641,0.5294,5.0,5.3602,2.72,2.4812
Andy Murray,2005-04-18,2024-06-17,1017,748.0,0.7355,1.0,0.7355,47.16,34.2,15.96,3.8,6.44,5.72,2.0,46.5677,34.6001,17.2235,12.6762,3.7643,6.0773,6.794,2.5732,0.7378,,,,,0.7381,0.6707,0.7947,0.7273,5.72,6.794,2.0,2.5732
Fernando Verdasco,2002-04-08,2023-04-17,1007,559.0,0.5551,7.0,0.5551,51.76,33.16,14.28,5.48,9.32,3.92,3.36,53.5037,37.8322,13.4258,12.5945,4.1655,6.657,5.4687,3.9041,0.5574,,,,,0.525,0.599,0.5368,0.5294,3.92,5.4687,3.36,3.9041
Feliciano Lopez,1998-04-13,2023-06-26,1004,512.0,0.51,12.0,0.51,41.64,31.44,16.36,5.12,8.04,10.6,5.48,48.2529,36.7318,17.6689,12.9916,4.0246,6.1592,10.4522,3.4761,0.5107,,,,,0.4947,0.4836,0.6268,0.4783,10.6,10.4522,5.48,3.4761
