player_name,career_start,career_end,total_matches,total_wins,career_win_rate,highest_ranking,hard_matches,hard_wins,hard_win_rate,hard_rolling_win_rate_latest,clay_matches,clay_wins,clay_win_rate,clay_rolling_win_rate_latest,grass_matches,grass_wins,grass_win_rate,grass_rolling_win_rate_latest,career_avg_1st_serve_in,latest_rolling_1st_serve_in,career_avg_1st_serve_won,latest_rolling_1st_serve_won,career_avg_2nd_serve_won,latest_rolling_2nd_serve_won
Jimmy Connors,1970-01-01 00:00:00.019690816,1970-01-01 00:00:00.019960429,1581,1279,0.8089816571790006,1.0,622,510,0.819935691318328,0.52,270,208,0.7703703703703704,0.48,212,174,0.8207547169811321,0.68,54.177215189873415,50.5,34.037974683544306,31.541666666666668,14.531645569620252,14.541666666666666
Roger Federer,1970-01-01 00:00:00.019980706,1970-01-01 00:00:00.020210628,1545,1265,0.8187702265372169,1.0,953,794,0.8331584470094439,0.76,300,227,0.7566666666666667,0.72,223,194,0.8699551569506726,0.8,48.46570644718793,61.833333333333336,37.4636488340192,45.791666666666664,16.789437585733882,17.666666666666668
Novak Djokovic,1970-01-01 00:00:00.020040409,1970-01-01 00:00:00.020241002,1363,1139,0.8356566397652238,1.0,848,718,0.8466981132075472,0.76,361,291,0.8060941828254847,0.84,141,121,0.8581560283687943,0.92,50.50731331793688,49.77272727272727,37.44418783679754,38.40909090909091,15.204003079291763,15.681818181818182
Rafael Nadal,1970-01-01 00:00:00.020020429,1970-01-01 00:00:00.020241119,1326,1091,0.8227752639517345,1.0,680,525,0.7720588235294118,0.56,541,488,0.9020332717190388,0.72,97,76,0.7835051546391752,0.76,50.01796875,50.96,36.02734375,34.44,13.428125,12.44
Ivan Lendl,1970-01-01 00:00:00.019780529,1970-01-01 00:00:00.019940829,1317,1075,0.8162490508731967,1.0,477,394,0.8259958071278826,0.6,406,329,0.8103448275862069,0.64,108,81,0.75,0.72,43.796747967479675,34.68,33.26829268292683,26.44,17.93089430894309,16.76
Ilie Nastase,1970-01-01 00:00:00.019671228,1970-01-01 00:00:00.019851007,1285,936,0.7284046692607004,1.0,295,205,0.6949152542372882,0.36,541,421,0.7781885397412199,0.32,111,78,0.7027027027027027,0.48,,,,,,
Guillermo Vilas,1970-01-01 00:00:00.019681111,1970-01-01 00:00:00.019920914,1243,945,0.7602574416733708,2.0,156,108,0.6923076923076923,0.4,840,668,0.7952380952380952,0.36,97,70,0.7216494845360825,0.72,67.5,67.5,40.5,40.5,14.5,14.5
Andre Agassi,1970-01-01 00:00:00.019860224,1970-01-01 00:00:00.020060828,1147,872,0.7602441150828247,1.0,758,598,0.7889182058047494,0.68,209,152,0.7272727272727273,0.64,68,50,0.7352941176470589,0.68,48.448763250883395,60.36,35.333333333333336,43.68,15.613663133097763,21.16
Stan Smith,1970-01-01 00:00:00.019680210,1970-01-01 00:00:00.019850218,1133,819,0.7228596646072374,3.0,398,289,0.7261306532663316,0.4,240,167,0.6958333333333333,0.52,198,152,0.7676767676767676,0.64,,,,,,
David Ferrer,1970-01-01 00:00:00.020020408,1970-01-01 00:00:00.020190506,1119,740,0.6613047363717605,3.0,551,350,0.6352087114337568,0.4,478,337,0.7050209205020921,0.56,70,44,0.6285714285714286,0.48,48.164967562557926,45.52,33.037071362372565,29.88,14.849860982391103,13.32
John McEnroe,1970-01-01 00:00:00.019760823,1970-01-01 00:00:00.019940221,1087,886,0.8150873965041399,1.0,358,290,0.8100558659217877,0.68,171,123,0.7192982456140351,0.52,141,121,0.8581560283687943,0.72,44.85263157894737,47.82608695652174,33.85263157894737,36.69565217391305,17.294736842105262,15.521739130434783
